college_name,city,state,nirf_rank,nirf_score,category,careers,min_cutoff,fees_lpa,avg_package_lpa
Bonam Venkata Chalamaiah Institute of Technology and Science,Bhatlapalem,Andhra Pradesh,,,Engineering,"Technology,Science",60,1.0,5.0
Bonam Venkata Chalamayya Engineering College,Odalarevu,Andhra Pradesh,,,Engineering,"Technology,Science",60,1.0,5.0
BRAHMDEVDADA MANE INSTITUTE OF TECHNOLOGY,Solapur,Maharashtra,,,Engineering,"Technology,Science",60,1.0,5.0
BRAINWARE UNIVERSITY,Kolkata,West Bengal,,,Engineering,"Technology,Science",60,1.0,5.0
Buddha Institute of Technology,Gorakhpur,Uttar Pradesh,,,Engineering,"Technology,Science",60,1.0,5.0
Budge Budge Institute of Technology,Kolkata,West Bengal,,,Engineering,"Technology,Science",60,1.0,5.0
BUILDERS ENGINEERING COLLEGE,Kangeyam,Tamil Nadu,,,Engineering,"Technology,Science",60,1.0,5.0
Bundelkhand Institute of Engineering & Technology,JHANSI,Uttar Pradesh,,,Engineering,"Technology,Science",60,1.0,5.0
Bundelkhand University,Jhansi,Uttar Pradesh,,,Engineering,"Technology,Science",60,1.0,5.0
BVRIT Hyderabad  College of Engineering for Women,Hyderabad,Telangana,,,Engineering,"Technology,Science",60,1.0,5.0
C K College of  Engineering & Technology (Formerly Sri Jayaram Engineering College),Cuddalore,Tamil Nadu,,,Engineering,"Technology,Science",60,1.0,5.0
C M R Institute of Technology,Bengaluru,Karnataka,,,Engineering,"Technology,Science",60,1.0,5.0
C. Abdul Hakeem College of Engineering & Technology,Melvisharam,Tamil Nadu,,,Engineering,"Technology,Science",60,1.0,5.0
C.K.PITHAWALA COLLEGE OF ENGINEERING AND TECHNOLOGY,Surat,Gujarat,,,Engineering,"Technology,Science",60,1.0,5.0
"C.V. Raman Global University, Odisha",Bhubaneswar,Odisha,,,Engineering,"Technology,Science",60,1.0,5.0
Calcutta Institute of Engineering and Management,Kolkata,West Bengal,,,Engineering,"Technology,Science",60,1.0,5.0
